6.72	9.51
5.17	10.18
4.42	6.78
2.57	6.44
6.54	9.02
4.3	7.7
3.88	8.49
7.76	6.33
6.21	8.58
7.19	5.48
4.1	5.33
5.49	11.87
6.47	7.32
5.46	6.72
5.65	5.28
5.52	8.07
6.95	7.86
4.45	8.74
5.94	6.3
5.77	8.54
5.32	8.67
6.49	7.66
4.37	6.03
4.63	11.2
2.42	5.75
5.83	9.51
5.98	7.88
5.99	12.79
4.42	6.22
5.14	4.93
6.49	5.82
6.17	8.24
2.58	8.31
3.29	7.81
5.13	6.5
5.03	10.94
2.88	5.32
2.79	4.79
6.34	4.79
5.92	7
5.41	10.1
7.72	6.09
4.48	11.26
5.54	9.74
2.89	5.42
3.92	8.62
2.54	6.63
4.45	5.76
4.06	6.57
2.65	9.49
2.55	5.78
4.94	10.21
4.54	7.65
6.68	8.58
4.27	6.53
5.47	7.47
6.16	8.44
4.82	7.62
7.9	9.61
3.48	7.54
3.76	5.87
5.58	7.52
2.31	5.43
5.55	5.99
5.19	8.27
3.1	5.88
6.89	12.07
4.34	9.96
5.83	8.39
2.8	6.03
4.06	6.97
3.08	7.52
3.42	6.36
7.73	4.9
5.62	6.5
4.11	6.73
3.66	5.52
7.14	10.3
7.38	7.06
6.8	11.99
4	7.91
4.29	6.82
4.35	5.15
6.61	11.66
3.03	8.57
4.84	7.23
7.5	9.39
3	5.08
3.56	5.82
3.96	8.61
5.32	5.39
2.35	8.74
4.42	6.29
4.05	6.49
5.53	11.65
4.69	6.96
7.19	10.03
6.49	12.5
7.88	12.94
6.93	12.91
3.27	13.8
5.31	8.2
4.46	7.73
5.79	11.95
4.98	8.46
4.27	4.59
4.21	9.63
7.08	5.39
5.21	12.77
2.94	12.02
6.32	9.28
4.43	11.03
5.2	11.41
5.79	14.87
4.62	10.88
5.85	12.06
6.49	4.42
4.7	9.31
7.99	11.28
6.71	7.35
3.17	3.31
4.88	10.75
4.14	9.91
4.07	15.46
2.79	11.03
3.61	8.3
6.16	5.96
5.52	10.53
6.81	8.2
7.33	8.15
6.76	10.41
2.83	11.58
4.07	6.96
4.91	11.23
6.12	9.18
5.08	13.33
4.48	7.74
5.98	7.16
6.02	5.42
6.17	7.23
5.61	9.59
7.91	9.12
6.01	9.33
7.54	10.61
6.26	8.7
5.55	5.76
4.57	14.74
4.92	13.55
2.22	10.99
4.09	9.16
5.98	4.65
6.42	13.42
3.66	8.47
5.96	10.66
3.69	12.08
6.2	8.39
4.19	5.29
4.74	5.81
5.13	7.69
3.23	14.01
5.52	11.34
6.48	7.84
6.32	14.61
2.93	8.08
4.46	12.71
4.11	6.73
4.34	13.94
4.04	6.78
5.08	4.7
2.74	8
6.81	9.58
6.49	9.22
3.67	7.77
4.14	8.5
4.13	10.58
6.16	13.92
4.93	9.8
2.69	7.4
4.03	12.95
5.6	4.33
4.33	4.08
5.65	14.5
4.17	7.12
3.8	7.51
4.2	8.15
5.32	12.48
3.26	11.52
4	7.45
7.04	10.15
7.87	10
5.74	6.65
6.62	10.45
3.07	11.61
2.4	12.97
3.43	13.85
4.19	6.73
4.52	6.45
4.82	14.91
6.97	3.7
4.88	6.08
